article,anchor_price
51138080761,15128
32302344150,54962
64319194098,2614
61315A40305,11661
61315A40306,11661
51912457058,4149
36115A3E078,25842
51622161763,18417
34217991043,13850
34107886853,34432
18302464501,109165
66215A44493,30267
77455A0E752,7118
31508487446,111920
65412458286,2242
80162864020,2007
80162864022,3399
80142864042,10747
80225A7C973,15447
80225A7C972,11824
80225A7C974,15447
80225A7C975,17169
80225A7C971,13726
80222864109,6372
80222864104,7663
80222864106,13199
80225A87992,3399
80222864107,5086
80222864108,5086
80222864111,7663
80212454669,6855
80212450917,10098
80215A51739,5729
80232411535,1586
82295A56C37,6451
82295A56C32,4058
80435A51949,8850
80435A51987,8256
80435A5D018,8256
80435A51950,6372
80432864218,7663
80435A5D020,8256
80435A21532,6372
80435A21533,6372
83125A4EF99,943
61122458607,2871
80232864005,4496
82262458247,1250
82262288693,1229
83292458654,415
83215A65BF6,1130
83215A7EE70,1213
83215A7EDB2,964
61218720721,15211
61217604816,11762
61219364597,14197
61217555719,21387
61216805461,19015
61217604802,15447
61217604808,22057
61216806755,23765
61125A0C168,2307
61905A138D4,6072
61905A138D8,7026
61448490523,6641
61905A138D7,7026
61905A1E1B1,38412
61905A13822,27492
61448490509,24682
71100039344,2292
406034,5720
0092S40080,5987
36115A56268,12400
36112470605,61329
36122447402,1714
36136777787,3128
36116895628,4049
36116856061,19381
36118745914,39697
36118745915,45655
36110048016,14140
36115A4D505,46777
36115A4D504,46777
36112462642,30148
36112462556,49374
36115A66192,71724
36115A66194,73806
36115A661B9,73806
36115A661C0,71724
36112471486,37941
61318379091,14081
61626927851,14081
63120027924,1757
63128380206,743
63128380207,922
63136943121,907
63136943122,907
63172228614,9346
64128363807,2142
11657934389,21054
33506886761,9915
33526796317,14637
37106875088,32603
37106875083,42507
37106875084,42507
31312283103,19133
31312283104,19133
31312284045,52712
31312284046,52712
37116761444,41963
51247473097,3496
51247204366,3638
51247204367,4937
51479149120,3806
51952446321,60656
31106884852,55068
61667304068,4516
17137642158,6298
11277632111,32337
63117440877,25964
63117316217,22901
11127793163,6818
61356992947,11971
61359196934,23138
63117263051,12448
63117348935,8428
11112161561,211823
51627158383,989
51627158384,857
51757188840,1004
51757188839,1027
11377515868,38917
11377630747,34201
11377589883,38917
17427953225,9089
21511223302,4081
11217576761,1464
11217576767,1950
11217576764,1950
11247620970,1628
11247548795,2699
11247544648,1860
51647475340,5855
51118089502,1728
13717605638,5658
13718635093,5198
51747421678,3578
51747255413,7304
51747421686,1728
83125A16140,857
51122693662,11261
51118099732,5648
31351093794,1757
31356761591,4489
37116771932,833
83195A1B479,1454
11417622768,7706
18307933843,43338
11127624778,230207
34521182160,15240
34356791962,1539
66209274427,2896
37146784696,9909
13628661436,2678
32306793632,18513
51127487524,936
18307560778,2100
51128094411,1885
51128094412,1650
36116790605,47237
17427647652,40965
51747374197,19015
51207419841,10343
51207419839,10160
51207419840,10343
51227281953,20807
51237347409,4197
51757340743,2970
51757374731,2585
51718069308,4429
51757424917,1785
51758044389,2082
51757340779,3328
51757340745,3492
51757343142,5755
51757233967,15400
51487468803,6206
51757191073,9817
34106861797,3036
51757340789,3023
51759477802,3556
51487340824,3213
12135A06753,3646
12137841556,6402
11717807928,10753
11657609210,6114
11377548388,17394
11747810831,2057
11748570591,1316
51472365217,8575
51472220142,4070
51757160239,1659
11217799970,113315
11117574145,2144
11618513655,37520
11618513653,33024
11617811909,53256
11618515685,53256
11618477030,55921
34116889585,18277
34112284065,21233
11258473674,5689
11257574822,4927
11258637991,4851
66209283203,179
21217515141,29237
51166817653,1364
51128746236,2721
51117156557,1336
51169155970,1036
51777170955,186
51767300561,1471
51128069245,4104
51118069228,5464
18208575121,1621
18208683823,2635
51767418198,4502
51128074187,2242
51128074188,2242
17117590119,814
51647421710,8195
11148483799,3142
51377167039,59
41007417572,14000
51177387928,4423
25168483097,32686
26117610061,8487
51117207941,5304
18308679075,4211
51339460501,3406
51339460502,3406
51747347378,2971
51117303114,4502
18302348835,20848
51499448944,1600
51127900841,4767
83192469491,536
51757424881,3392
33531093094,1736
51138061574,3213
51647421711,7393
83195A04C59,2077
63216943036,679
11617799389,8128
11532247681,6769
13717804846,4953
51169206347,1885
51717169420,6353
51237347412,2664
51171928197,3071
13528515671,1788
51647421704,8318
51647445102,3849
61359856157,1949
63177184662,1379
63312348803,3178
37121094613,16281
28107842383,910
12428656997,2371
61129364201,4476
61122410220,3071
24347588725,1093
61120432110,2428
11317576160,39529
11317576161,39529
11317563665,39529
18207568777,1507
12218591724,11934
24008672629,2800
32106891974,8061
51117319777,2977
51745A22C65,8324
51745A22C64,8324
51137497285,7730
51135A21AA5,11065
51745A29C48,12992
51712155451,3456
51712155450,3456
51139448474,11182
51138079741,9878
51745A22C61,13406
51137005837,4142
51137005838,4142
51137497281,11065
51138065539,6464
51138065540,6610
51135A21A96,18660
51135A21A98,20499
51135A21A97,20854
51135A21A99,16709
51712240775,4480
51712240778,4814
51137354823,4005
51135A21A95,20156
51118092124,2628
51118069237,2628
51745A29C42,20748
31106893549,15193
31126775967,17234
31126794203,18050
31126775971,6443
31122284977,24439
31126773949,14885
31126794204,18470
31126775972,15666
31122284978,24439
31126773950,7635
31102348047,13613
31126863169,15666
31106861158,16447
33316880637,2441
33316784940,4777
33316792872,2607
33316797238,2555
33316792873,1728
32111116910,493
31106778015,4124
33326770985,4675
12120040551,1721
12120039634,1843
12120057704,1326
12120032273,1914
12120039664,1636
12120037582,1636
83238849305,479
51217297439,1514
51217317560,1236
51237201904,1236
51237184432,1433
51238190754,2028
51237008760,4158
51238408134,1193
51237164798,1728
51952408224,9701
18308512137,1614
36115A648B4,43141
36132453961,4164
36136776076,2228
36132453959,4164
36136786419,2558
36122447401,1630
36115A3E076,14619
36115A085B1,42098
36115A64984,62372
36115A64996,84723
36115A64983,56134
36115A64995,76925
36108093832,49930
36108093833,55371
51145A4B373,3670
51148094236,1793
51955A368C7,4042
51472347731,8550
51125A5C8F3,10949
18302464503,20872
51142472843,3670
51142472834,3670
51142472831,3670
51142472839,3670
51142472841,3670
51142472838,3670
51148132375,2757
51147057794,2757
61445B4FD84,4290
82732406459,65430
82732420634,36437
63312463924,6622
82722326527,22830
51148087192,3863
51147499154,2757
51147463715,3118
51147376339,3145
51147294465,3064
51145A4B372,3670
51148087199,3863
51148087197,3668
51148087189,3612
51117886545,4114
51148087191,3863
65412458284,1236
51472407204,4038
71606770487,1507
51475A56C40,6319
51475A56C39,5757
51475A56C43,4771
51475A65EE8,34165
51475A498E7,10056
51472458560,6365
51472451368,6080
51475A2DA74,5484
51475A2DA75,3972
51475A62B50,5742
51475A50928,11631
51475A50924,9315
51475A50927,11631
51472473482,9982
51475A50923,7761
51475A8D4C4,11457
51475A8D4D0,7393
51472473480,9609
51475A56C44,11641
51475A582B4,11641
51472458553,6027
51472452201,5484
51472452204,3972
51475A20D31,6378
82722472964,14430
51265A681A8,5696
36136852052,1257
51142472844,3670
51145A0E480,3171
51145A060A9,3720
51145A3F9B2,3720
63217217509,12602
82712455808,26131
82712472916,22611
82712289107,1650
52122406212,5795
83192161313,1043
82295A2C220,3249
61627356223,1671
61627306461,1500
61627213241,1550
61623428599,1371
61622990035,1503
61627161029,1372
61627954693,1671
61627474264,1491
61627407273,1490
61615A5C9C2,4794
61615A43610,3880
61619466377,4017
61617469820,3943
61615A0B571,4880
61615A974B1,4648
61615A27D68,4124
61612158219,3925
61615A43587,3349
61615A43583,3477
61612458017,3597
61612447932,3736
61615A25860,3639
61612458015,4224
61615A43585,4224
61612458006,3558
61619478361,3978
61619478909,4655
61615A87C83,4436
80165A52A83,2007
80225A51690,10429
80935A21521,9872
80452465960,2207
80232454535,1357
80245A21239,886
80282465944,1050
82732223388,32278
83125A167D0,550
83125A7DCA9,772
83125A7DCA6,693
83125A97D90,850
51149880863,2342
51149880866,2342
83122288912,1107
51712457412,5914
83212465844,807
36122469710,6047
36122469709,5039
36122447404,1621
36122182347,1686
61610049744,4436
61610040534,2487
61617411249,1421
61615A404F6,1421
61617347623,1279
83120427832,757
83292458655,386
63312468387,6451
83195A07760,729
51148087194,3863
51148087196,3863
61610003090,4436
61610039697,3626
83125A71808,1414
13328591019,3792
11427721779,1271
11427673541,1053
11427826799,1325
11428575211,1571
31356881808,3988
83125A732E5,308
11538642560,15323
61627161030,422
64539217375,9597
11287594969,6439
12317605478,51478
51475A87FF4,5092
51475A87FF2,5092
51475A87FF3,6027
51475A87FF0,6027
51475A89892,16435
82715A4E764,21132
82145A8EDC6,10043
82145A8EDB7,10043
51475A87FF5,10092
51475A87FF6,10092
65205A59AB9,21748
51115A6FE82,36544
51167883949-51167883950,51200
51625A79E68,52572
51475A6CBC3,12678
51168083557-51168083558,65700
51195A56353-51195A56352,115400
51192350722,39304
51162462824-51162462825,48900
51476980201,3635
51476958162,2693
51479120284,3635
51479120286,3635
51479120286,3635
51479120285,3635
51477267484,4013
51475A2DA75,3972
51472467897,13666
51472461169,3682
51477489623,11065
51472407169,7393
51472458569,6294
51118069208,4529
51118074270,4224
51118746240,4383
51118069210,3730
13718635091,1221
51117255370,2749
11318685091,3471
18305A23286,41021
34358095575,1763
34356870349,1727
83122298202,550
34107889662-34107889661,96284
63215A3CB63,2100
83192296922,729
11317797898,1571
13528515670,2021
83192211217,1186
83135A82511,864
83125B51EC5,615
83515A6CDD7,1000
83195A42DF3,1000
83230418567,722
83125A7DC77,1707
83135A824F2,422
83135A824F3,548
83125A15D26,4622
83195A260A6,757
83125A707F6,1008
83195A54E47,1392
64112464927,2728
64112464928,2728
64119382603,2535
83125A7DCA4,772
83125A7DCA3,755
83125A7DCA2,772
83125A7DC98,770
83125A97D49,822
83125A5C729,4966
83222167718,1071
83192414456,646
83190441139,1079
83125A85518,1457
83192298237,2400
83192298238,600
83125A16146,1450
81229407711,814
51148058881,3171
80282411112,272
18308691859,5092
18302287155,24830
36112228660,486
51137399032,3304
51137399031,2878
83222446673,1844
GS55502M9,66911
83212465843,807
20114005099,2954
83212365924,1284
31317842400,4648
11417610378,16766
11417643046,22150
11537795136,1257
11537802629,5895
51499448943,1920
17118655768,2157
17118697887,3085
36136850834,1007
36136783536,1007
34356890791,2022
34356791958,1974
34356890788,2079
34352282935,1978
82162302408,6279
82732406460,51753
51479410838,4661
51472450512,4860
51472458570,11457
51472459921,8538
80242472539,550
11128510234,22866
11127823181,22866
11127645173,24008
77411539593,25457
77412472173,27149
83515A87B45,1136
77405A0ED09,11598
77495A5CCA4,4774
77402451052,12886
77402451048,12886
77402451059,16110
77402451060,16110
77402464349,6438
46545A097C1,11998
71602414858,12164
77338551929,13146
77338409969,6335
77339444311,13335
77495A0E757,13761
77418543197,6531
77438543194,6531
71607705964,2828
71607699437,8079
77148394379,25759
46638389433,11586
77308546226,1736
61432408592,7387
61905A1E1B1,38412
83105A6D0B1,693
83105B311C8,986
77428528355,6873
77525B44EA5,3256
77525A29255,3356
71607689674,6225
11128581798,18470
11127588412,17589
77032465254,4056
77322465267,9413
77518530685,6702
77521691965,1636
61448490523,6641
61447826831,6365
61347921643,3521
77222462945,3371
77412464351,3578
77148406187,14110
77407721037,27889
77407721035,22014
77438569672,27889
77431539595,29989
77432472170,31787
77452471467,415
77452471466,2171
31421541247,2478
71607715824,4211
77495A0E758,11696
77315A34131,9474
77318404068,515
77349829332,11592
77349829331,11592
77312464421,3578
77215A3D179,5066
52539480745,20706
77492474994,3506
83122405891,1083
83122405887,1136
76795A6A1D6,2457
77448549334,4920
83192460609,600
77149830123,9327
77259443012,5696
83105A87361,629
77232462951,4648
77455A31316,2171
51257698202,1828
71112447552,2264
46638556647,1486
77495A503C1,7559
77402464350,2914
77448546808,5788
83105B311D4,1057
77495A503B9,13761
77495A503C0,11696
77492471302,6498
77452456667,2692
77492463535,3521
77455A0E751,12383
77455A0E752,7118
77492463533,3199
77492463534,6029
46638403839,3056
77518524085,6739
46528528637,9646
77498544517,1828
76317923604,6286
76317924032,6286
76319480521,6379
76319480522,6426
76311540134,9658
76315A75208,42620
76318537946,943
76217913954,6531
76217913962,6113
76211541049,4403
76317913010,11457
76317913048,16352
76318504153,7589
76315A75308,21896
76315A75195,29255
76315A75175,27942
76315A75161,27942
76617109788,2757
76819829878,379
76617109788,2757
76617912874,1607
76618546747,3720
76317914346,8287
77441541704,5788
11128589941,17589
11127570292,26011
11128508570,20201
36122447403,1586
51747421686,1728
51747331783,1850
80285A21545,1379
12122455258,1721
12120037582,1636
A004159580390,880
A270159070090,1595
2541590000,1423
A0031599703,894
06E905601,1263
03C905601B,1353
06M905606F,1542
06H905611,1312
101000033AA,698
33326796138,4137
34216864900,5428
34118854273,12140
34117991102,37083
34116868938,11996
34116887397,19353
34216763827,14223
34106875284,20387
34106887398,19353
34116875283,20387
83212365933,1521
989920211,1015
A000989700613ABDE,3636
GS55545M4,3125
GS55502M2,663
GS55502M4,2666
GS55505M2,756
GS55505M4,3264
GS60577M4,3899
G052182A2,2084
G052145S2,2798
G052162A2,1808
G052180A2,2604
G052516A2,1896
G052529A2,2968
G055025A2,2856
G060162A2,4908
G055005A2,2148
G060726A2,1141
G055512A2,1559
G055145A2,9503
G055175A2,2697
000989680511ADNE,895
A001989330309,4463
83225A92866,2292
83222289720,3908
83222339219,1648
41007385435,4370
76898352943,4098
76117717710,308
76618546739,407
76618546738,322
76618546730,5324
76128568159,13205
76228403937,9376
76171539769,3242
76171539770,3242
76171539771,3242
76171539772,3242
76171539773,3242
76171539774,3242
76171539775,3242
76171539776,3242
76147923001,6163
76128504945,20097
76128504948,6001
76128504949,20097
76128504950,20097
76147923005,7210
76147923006,7210
76147923007,7210
76147923008,7210
76147923009,7210
76148504937,15690
76148504936,15690
76148504938,15690
76148504939,15690
76148504940,15690
76148504941,15690
76148504942,15690
76148504943,15690
76317913025,8287
76245A86CF2,5729
76245A86CF4,5729
76245A86D01,5729
76245A86D04,5729
76245A86D06,5729
76245A86D08,5729
76115A80DB9,38115
76115A80DC0,34799
76115A80DC1,34799
76115A80DC2,34799
76115A80DC3,34799
76115A80DC4,34799
76115A80DC5,34799
76115A80DC6,34799
76225A808E1,15607
76225A808E2,15607
76225A808E3,15607
76225A808E4,15607
76225A808E5,15607
76225A808E6,15607
76225A808E7,15607
76225A808E8,15607
76225A808E9,15607
76225A808F0,15607
76225A808F1,15607
76225A808F2,15607
76225A808F3,15607
76417914635,2835
76128504854,31580
76128504855,8991
76128504856,9438
76128504857,9438
76128504858,9438
76128504859,9438
76128504860,8991
76128504861,31580
76315A75279,27179
76315A75280,27179
76315A75281,30799
76315A75282,25883
76315A75283,30799
76315A75284,30799
76125A809C9,15755
76315A75231,35147
76125A809D0,15755
76125A809D1,15755
76125A809D2,15755
76125A809D3,15755
76125A809D4,23948
76315A75232,26232
76315A75233,26232
76315A75234,26232
76315A75235,26232
76315A75236,26232
76145A80A61,21493
76145A80A62,21493
76145A80A63,21493
76145A80A64,21493
76145A80A72,21493
76145A80A65,21493
76145A80A73,21493
76145A80A67,21493
76145A80A75,21493
76145A80A69,21493
76145A8C8F0,21493
76145A80A71,21493
76145A80A79,21493
76245A86DE6,6372
76245A86DE7,6372
76245A86DE8,6372
76245A86DE9,6372
76245A86DF0,6372
76245A86DF1,6372
76315A75226,35147
76315A75237,26587
76315A75238,26587
76315A75239,26587
76315A75240,26587
76315A75241,35147
76315A75242,26587
76315A80796,25735
76315A80797,25735
76315A80798,25735
76315A80799,25735
76315A752F0,21896
76245A86E20,5729
76245A86E21,5729
76245A86E22,5729
76245A86E23,5729
76245A86E24,5729
76245A86E25,5729
76315A752F1,21896
76315A752F2,21896
76315A752F3,21896
76315A752F4,21896
76315A752F5,21896
76235A80FA2,1871
76235A80FA3,1871
76235A80FA4,1871
76315A752E1,44056
76315A752E2,44056
76315A752E3,44056
76315A752A3,28711
76315A752A4,28711
76315A752A5,28711
76315A752A6,28711
76315A752A7,28711
76315A752A8,28711
76315A75273,28711
76315A75274,28711
76315A75275,28711
76315A75276,28711
76315A75277,28711
76315A75278,28711
76315A75218,32042
76315A75219,14252
76315A75220,14252
76315A75221,14962
76315A75222,14962
76315A75223,14962
76315A75224,14962
76315A75297,23493
76315A75298,23493
76315A75299,23493
76315A752A0,23493
76315A752A1,23493
76315A752A2,23493
76315A752C0,42075
76245A86CD5,5729
76315A752C1,42075
76315A752C2,42075
76315A752C3,42075
76315A752C4,42075
76245A86CD8,5729
76245A86CE1,5729
76245A86CE4,5729
76245A86CE7,5729
76245A86CE9,5729
76315A752B5,44056
76315A752B6,44056
76315A752B7,44056
76315A752B8,44056
76315A752B9,44056
76235A80EF5,9719
76235A80EF6,9719
76235A80EF7,10105
76235A80EF8,9719
76235A80EF9,9719
76235A80F00,9719
76315A752D5,34956
76315A75285,22529
76215A80963,5079
76315A75286,23653
76315A75287,23653
76315A75288,23653
76315A75289,23653
76315A75290,23653
76215A80964,5079
76215A80965,5079
76215A80966,5079
76215A80967,5079
76215A80968,5079
76215A80969,5079
76245A86D85,5198
76245A86D86,5198
76245A86D87,5198
76245A86D88,5198
76245A86D89,5198
76245A86D90,5198
76225A80907,16210
76225A80908,16210
76225A80909,16210
76225A80910,16210
76225A80911,16210
76225A80912,16210
76225A80913,16210
76225A80914,16210
76225A80915,16210
76225A80916,16210
76225A80917,16210
76225A80918,16210
76225A80919,16210
76235A80FA0,1871
76235A80FA1,1871
76417109668,10747
76245A86E26,2207
76245A86E27,2207
76245A86E28,2207
76245A86E29,2207
76245A86DB5,4443
76245A86DB8,4443
76245A86DC1,4443
76245A86DC5,4443
76245A86DC7,4443
76245A86DC9,4443
76245A86DD0,4443
76245A86DD1,4443
76245A86DD2,4443
76245A86DD3,4443
76245A86DD4,4443
76245A86DD5,4443
76125A869F1,13146
76125A869F2,13146
76125A869F3,13146
76125A869F4,13146
76125A869F5,13146
76125A869F6,23410
76235A80F01,6498
76235A80F02,9719
76235A80F03,6433
76235A80F04,6433
76235A80F05,6498
76235A80F06,6498
76135A80C57,26634
76135A80C56,26634
76135A80C58,36409
76135A80C59,26634
76135A80C60,26634
76135A80C61,26634
76135A80C62,26634
76135A80C63,36409
76235A80F99,1871
76125A809F5,27634
76125A809F6,27634
76125A809F7,27634
76125A809F8,27634
76125A809F9,27634
76125A80A00,27634
76125A80E55,15690
76125A80E56,15690
76125A80E57,15690
76125A80E58,15690
76125A80E59,15690
76125A80E60,15690
76125A80E61,15690
76125A80E62,15690
76125A809C1,15755
76125A809C2,15755
76125A809C3,15755
76125A809C4,15755
76125A809C5,15755
76125A809C6,23948
76125A809C7,23948
76125A809C8,23948
76145A80EC8,19210
76145A80EC9,19210
76145A80ED0,19210
76145A80ED1,19210
76145A80ED6,19210
76145A80ED2,19210
76145A80ED7,19210
76145A80ED3,19210
76145A80ED8,19210
76145A80ED4,19210
76145A80ED9,19210
76145A80ED5,19210
76145A80EE0,19210
76135A80C92,14678
76135A80C91,23037
76135A80C93,14678
76135A80C94,14678
76135A80C95,14678
76135A80C96,14678
76135A80C97,23037
76135A80C98,23037
76235A80FA5,1221
76235A80FA6,1221
76235A80FA7,1221
76235A80F98,1871
76128504887,50513
76128504888,50513
76128504889,50513
72607669469,1200
72607669470,1200
72607669471,1200
72607669472,1200
72607669473,1200
76145A80E49,23919
76145A80E50,23919
76145A80E51,23919
76145A80E52,23919
76145A80E53,23919
76145A80E54,23919
76135A80E09,34356
76135A80E07,22517
76135A80E08,22517
76135A80E10,34356
76135A80E11,34356
76135A80E12,22517
76135A80E13,22517
76135A80E14,34356
76215A86797,10735
76138568072,10111
76138568071,10111
76138568073,10111
76138568074,10111
76138568075,10111
76138568076,10111
76138568077,10111
76138568078,10111
76215A80993,10735
76215A80994,10735
76215A80995,10735
76215A86796,10735
76215A80984,10735
76215A80985,10735
76215A80986,10735
76215A80987,10735
76215A80988,10735
76215A80989,10735
76125A80A01,27634
76125A80A02,27634
76125A80A03,27634
76125A80A04,27634
76125A80A05,27634
76125A80A06,27634
76428547255,13051
76428547256,10521
